Ticker,Date,3M Returns,6M Returns,12M Returns,11M Returns,5M Returns
AAPL,2001-01-11,-0.0828001254526739,-0.6838634397626369,-0.6118593036003832,-0.6725071601147923,-0.7332604881064018
AAPL,2001-01-18,-0.0714295428732169,-0.6735809861413156,-0.6404091338982207,-0.7257969520488006,-0.7510918742748532
AAPL,2001-02-08,0.03426852462117469,-0.556149155517375,-0.6387376242802139,-0.7116431429586245,-0.6457216607315794
AAPL,2001-02-22,0.016893910396095224,-0.6360332714700386,-0.6694119066520059,-0.6617243216236384,-0.6275694906219925
AAPL,2001-03-06,0.5021871904822877,-0.632085215243452,-0.6578813186626413,-0.663849033013306,-0.6385029014458851
AAPL,2001-03-13,0.30416613029077566,-0.6627157711281706,-0.677486073226609,-0.6846983842125375,-0.6702583872676029
AAPL,2001-03-20,0.369569553462046,-0.6775015405241227,-0.6798775129886208,-0.7022356449458219,-0.7000256161686413
AAPL,2001-03-27,0.54396639539025,-0.532669112600273,-0.6722614831693197,-0.7223467984388015,-0.6040870681610913
AAPL,2001-06-08,0.024383003442023377,0.41543578472629417,-0.5502705000723812,-0.4817137853224456,0.6312046576953778
AAPL,2001-06-22,0.02936342308453077,0.48400090389304884,-0.5858602653745945,-0.5627903318635565,0.5666681761220698
AAPL,2001-06-29,0.03195956221985852,0.5630268770105697,-0.5463411990864233,-0.5810732286424601,0.4433618433335247
AAPL,2001-07-05,0.1111626903473737,0.4161813184993197,-0.5507991920083257,-0.5943821082680912,0.2787788234131039
AAPL,2001-07-12,0.08653025602973763,0.417307486527684,-0.5862419354162038,-0.6550313512307311,0.18167279472810005
AAPL,2001-07-26,-0.24706450233521715,-0.049712367882459474,-0.6286644129118496,-0.5255930674636952,0.214058270351156
AAPL,2001-08-02,-0.25460539434580554,-0.03903025934454052,-0.5805285771687825,-0.4941795490406178,0.1587872763676874
AAPL,2001-08-09,-0.20558649287697683,-0.003920783933390015,-0.5989467185274283,-0.5221052502872493,0.186927148204324
AAPL,2001-08-16,-0.22614016177546525,-0.018421019576621123,-0.61546338468823,-0.5059792804808724,0.2610511843727843
AAPL,2001-08-23,-0.23331752529961913,-0.053289643582726365,-0.6720825379059567,-0.6402296853589104,0.03867076985531415
AAPL,2001-08-30,-0.09858330672014881,-0.023013757006644875,-0.7003360075109145,-0.6818484699024874,0.037260651540833356
AAPL,2001-09-06,-0.14520004836912792,-0.17581381593042356,-0.6967697174887211,-0.6726419133583946,-0.11023394491139937
AAPL,2001-09-20,-0.27641846261620795,-0.20355669992541003,-0.7431482626660608,-0.703179384807343,-0.07962160292161324
AAPL,2001-09-27,-0.3354766747870238,-0.3218198847803774,-0.6830654849375647,-0.6133846146815629,-0.17271595834462916
AAPL,2001-10-10,-0.20435227592640237,-0.23684158118123277,-0.19425218333934413,-0.16790340660659364,-0.21188552126597104
AAPL,2001-10-17,-0.3231067970977355,-0.16715711900361685,-0.1557759824006455,-0.1557759824006455,-0.16715711900361685
AAPL,2001-10-18,-0.13419794987317657,-0.21017826880205892,-0.10558883003566577,-0.19105670763098692,-0.2856518197940955
AAPL,2001-10-24,-0.00733367248122585,-0.21140183083697517,0.0039726230399934614,-0.12847800145291788,-0.31543885095345736
AAPL,2001-10-25,0.03898479401201205,-0.22370527911377203,0.03729907087462192,-0.15999958863109853,-0.3713598101094262
AAPL,2001-11-01,-0.024659458450367322,-0.2830708937620159,-0.09317045316146222,-0.24195029285280245,-0.40069453964784507
AAPL,2001-11-08,-0.010053316574568094,-0.23850253569367286,-0.0674148629539355,-0.19252274548490556,-0.34065871589383157
AAPL,2001-11-15,0.05476999965155249,-0.16091644759881674,-0.021385631527243154,-0.0948435183049362,-0.22390071042494186
AAPL,2001-11-29,0.14526078354875582,-0.048905385923811884,0.16270534258235148,0.0038422697567386255,-0.17885560409728007
AAPL,2001-12-05,0.2808633739232702,0.13466999017691506,0.39765006451896645,0.12176727777084029,-0.08930303917876614
AAPL,2001-12-06,0.28555223664116025,0.09888998969982321,0.5916189920476618,0.36733699151640176,-0.05595940986443604
AAPL,2001-12-19,0.2702670529453093,0.0708250682512479,0.5442839860916135,0.4285720586776731,-0.009410972325789801
AAPL,2001-12-20,0.3182393086031534,-0.04614637444118319,0.43791499831423253,0.35861102055335903,-0.09875336915027821
AAPL,2001-12-26,0.4184802904530034,-0.09515757832607874,0.4631476693063481,0.454976935548163,-0.10021053823962867
AAPL,2001-12-27,0.4229538907845054,-0.05441394887113826,0.4899569587972392,0.4177211766976521,-0.10025765431675904
AAPL,2002-01-03,0.5740970927306737,-0.010906367567681818,0.4399971054920737,0.28549540675225504,-0.1170292520100854
AAPL,2002-01-10,0.26218793251923533,0.0042569558620892956,0.2818105556969073,0.36090537861401994,0.06622518177048375
AAPL,2002-01-17,0.32313200748906223,-0.10438093758822553,0.33710277698253654,0.22646839150859677,-0.17848613450680684
AAPL,2002-01-24,0.22480073027768066,0.21581844286705776,0.13219570239407874,0.04195361443468304,0.11891117265585582
AAPL,2002-01-31,0.4077481037517048,0.3155935132945844,0.14312162466381206,0.01271488375032881,0.16551126593431587
AAPL,2002-02-07,0.24043151989960854,0.2623388983986594,0.17108458251646308,0.10361473885286276,0.18961160833185375
AAPL,2002-02-28,0.056990120548332746,0.17934935768329718,0.1890404845656053,0.27506871187468307,0.2646764226037648
AAPL,2002-03-05,-0.009679787613344537,0.26846488850198114,0.15484873502374707,0.24907991711615862,0.37196670849038216
AAPL,2002-03-19,0.14939997574567965,0.4600449198458745,0.2085089545836567,0.10006042634458767,0.32902419209730405
AAPL,2002-03-26,0.09167171267562879,0.5485148080754538,0.07713490242210663,0.08677675564654042,0.5623761660741147
AAPL,2002-05-31,0.07373164003838695,0.09389599960447104,0.16791862915837563,0.21654179946303143,0.13943743558848176
AAPL,2002-06-07,-0.12223075094277802,-0.05057642873998225,-0.012004112992486937,0.03739533077497725,-0.003105587072796623
AAPL,2002-06-14,-0.17724009796066054,-0.014221106218636925,0.011067659417034692,0.2882281746463158,0.25600708628445146
AAPL,2002-06-28,-0.25137282928266247,-0.20998614707199337,-0.24723747309434196,0.01869131447077743,0.06910243473133959
AAPL,2002-07-11,-0.2638777345403416,-0.130640862559816,-0.18810929551827138,-0.09228072469473736,-0.028029213955643617
AAPL,2002-07-25,-0.40464210560985037,-0.3823652496544421,-0.22252071843422871,-0.07200868965233065,-0.262797485567539
AAPL,2002-08-01,-0.38281792963736316,-0.3936906260037679,-0.22350353566389403,-0.10493099855820509,-0.30110599227055246
AAPL,2002-08-08,-0.372180147846377,-0.36329632053245753,-0.19047701463916544,-0.04709040593941305,-0.2505202993490546
AAPL,2002-08-15,-0.38251641663108304,-0.34686236475914833,-0.1534714664352128,-0.011388265278185705,-0.23723831508847215
AAPL,2002-08-22,-0.3433382833912746,-0.2977115231593275,-0.12300923537536701,-0.1806697285366583,-0.34388566951246213
AAPL,2002-09-05,-0.37588055036238655,-0.39736637012276443,-0.23558039987022816,-0.2458234014754599,-0.4054414865079947
AAPL,2002-09-19,-0.14836421311632042,-0.4132800090585631,-0.14336245785393742,-0.06110638531539725,-0.3569419667007818
AAPL,2002-09-26,-0.11178341081161047,-0.37340221990229017,-0.02970405881148952,0.025079860695715217,-0.3380238565689152
AAPL,2002-10-03,-0.1851860128698699,-0.39789485652431367,-0.04539444959346828,-0.06208230097536571,-0.40842050363197957
AAPL,2002-10-09,-0.22475688433030339,-0.43609841427358087,-0.15062265234765004,-0.10187461712359414,-0.4037345957188815
AAPL,2002-10-10,-0.18533653577461984,-0.4278187855396436,-0.1611182987145957,-0.14803723521475665,-0.4188965039017174
AAPL,2002-10-16,-0.1847715283520105,-0.4343436386812993,-0.19155989895601477,-0.19488997659234153,-0.43667365620052045
AAPL,2002-10-17,-0.09724944601211472,-0.45959463472548046,-0.1695128180444745,-0.12889880139643894,-0.43316673435708875
AAPL,2002-10-23,0.028332812393673468,-0.38639284027413945,-0.17971536961046286,-0.18136690889733575,-0.38762826063123246
AAPL,2002-10-24,-0.033555761829126896,-0.38199469649183215,-0.22480372466276854,-0.22743966424136153,-0.38409613156205213
AAPL,2002-10-30,0.0356432469406045,-0.3415745122352405,-0.0920467208967305,-0.1761356869272066,-0.4025537715743692
AAPL,2002-10-31,0.05307886416080021,-0.3378665593564024,-0.08485161661659713,-0.1742571564263825,-0.4025537715743692
AAPL,2002-11-07,0.06453592278288123,-0.28794019422275396,-0.1832565814835435,-0.2970890808477905,-0.38718255792085954
AAPL,2002-11-14,0.07448693631148617,-0.3635302003643368,-0.16879364925633988,-0.24681378141399668,-0.4232716326061676
AAPL,2002-11-21,0.014267495665645447,-0.3030704794967606,-0.16920912483039363,-0.2601635006784262,-0.3793698123878445
AAPL,2002-12-05,0.031735952842433246,-0.3560735249406418,-0.384259710623463,-0.28872034455233797,-0.2561607398183996
AAPL,2002-12-11,0.08397250486021068,-0.24291310132586985,-0.28879821233118763,-0.3039500572094479,-0.2590425085447048
AAPL,2002-12-12,0.07425747365533675,-0.24390238229182903,-0.293159568898816,-0.27221888410317285,-0.22150241591964936
AAPL,2002-12-18,-0.029957327788893928,-0.27692097188333964,-0.30652030619311366,-0.2551181920479584,-0.22332489535630196
AAPL,2002-12-19,-0.02606416959635771,-0.17056139269998416,-0.3432011056017831,-0.29370762489604885,-0.10805854128363468
AAPL,2002-12-26,-0.02040760950395515,-0.12990978811870213,-0.3299205305038716,-0.2829211604104309,-0.06888166571757903
AAPL,2003-01-02,0.04446015354375166,-0.1263272623952042,-0.3648054949543107,-0.3484982407453434,-0.10389759193301884
AAPL,2003-01-09,0.08020465786625897,-0.16257877547484267,-0.3219393545269804,-0.3187060229049755,-0.15858553306463574
AAPL,2003-01-16,0.004119254226657265,-0.18141339502448328,-0.29643925581698694,-0.2853685669119227,-0.168532747943953
AAPL,2003-01-23,-0.04771294640283463,-0.020731975968342087,-0.3844469912610904,-0.3705467179825733,0.0013816242475690466
AAPL,2003-01-30,-0.1038804001089505,-0.07193978792171807,-0.40556373200376983,-0.4159408086730515,-0.0881409393200161
AAPL,2003-02-06,-0.162019572032842,-0.021028542132491723,-0.4150784724733264,-0.3960289366716876,0.010854284807194192
AAPL,2003-02-13,-0.06735087411103313,-0.0034275372257378534,-0.41863205878906506,-0.41503381502990466,0.002740519852296952
AAPL,2003-02-27,-0.05470698729265644,0.0006711672634907018,-0.32331577968186376,-0.3565587101394908,-0.04848801367418987
AAPL,2003-03-04,-0.02738655159020198,0.005526495864607961,-0.4005763958050699,-0.39893027699497785,0.008287842043345428
AAPL,2003-03-11,-0.08134287198976964,-0.00420093184306336,-0.43216311986833955,-0.4273743027921346,0.0041970777771522805
AAPL,2003-03-18,0.02951034454240742,-0.0013310343111067047,-0.39369515858131066,-0.3827803358878157,0.016647206905777923
AAPL,2003-06-06,0.17788468151403158,0.14715848992361447,-0.22608248752688564,-0.2102882679484097,0.17056986489465942
AAPL,2003-06-13,0.1834230024726713,0.177821949094783,-0.10849766239037306,-0.0445247629122848,0.2623407237225175
AAPL,2003-06-27,0.2926145869098522,0.33214909529238645,0.09788837406867446,0.1066822420352409,0.3428193451397079
AAPL,2003-07-03,0.32296083296092104,0.28389420489409534,0.09002756253397304,-0.013676091156443415,0.16174635783420044
AAPL,2003-07-10,0.36256219584400173,0.3301643296152379,0.13048438626791747,-0.008083125745091735,0.16712133321285005
AAPL,2003-07-24,0.5260417355457339,0.4862293553405974,0.34933999411044314,0.23552386643046952,0.36086668113876486
AAPL,2003-07-30,0.42615859292762104,0.41620330108207826,0.3143219359481966,0.23525421250270684,0.3310065407679743
AAPL,2003-07-31,0.4824183437410472,0.4679658344073083,0.38139075239979814,0.24901649604974363,0.32729536492619005
AAPL,2003-08-07,0.129177378378184,0.40847874034322085,0.3260143630059602,0.3220202592225545,0.4042362446187413
AAPL,2003-08-14,0.0765493653297653,0.3612824632570475,0.3164126802968781,0.3117983167909122,0.35651081967310105
AAPL,2003-08-21,0.2145662534857029,0.4453346646210765,0.34491428507534705,0.2785376313894843,0.3740018818866355
AAPL,2003-08-28,0.21389336756400446,0.47834618441423404,0.5095239144063639,0.42788961628003896,0.39839796232869884
AAPL,2003-09-04,0.29715927495674066,0.5679961788836327,0.5766617032819545,0.4647814256996987,0.4567308089084192
AAPL,2003-09-11,0.29283681510236037,0.5853833545067471,0.578723267089337,0.37578333889642423,0.3815872929493469
AAPL,2003-09-25,0.07019207374831837,0.40412434019801946,0.3683849464880127,0.39718770030246464,0.43367936256171924
AAPL,2003-10-02,0.06746161004614892,0.4089040947130298,0.45165520107876134,0.6125610816539326,0.5650713125463676
AAPL,2003-10-08,0.13039201008556556,0.5958471289409373,0.6856716667004199,0.6622770279123349,0.5736991223747152
AAPL,2003-10-09,0.1789829188702976,0.6525712917370481,0.7255303847890131,0.6460592443333852,0.5764603600511757
AAPL,2003-10-15,0.26567845585770344,0.8536220322333037,0.6372037467297034,0.4650405591141453,0.6587009795902445
